slug,display_name,creator,category,one_line,tldr,what_they_sell,who_for,pricing_note,hook_pattern,hook_analysis,story_pattern,story_analysis,offer_pattern,offer_analysis,whats_working,what_to_adapt,what_to_avoid,brunson_hook,brunson_story,brunson_offer,brunson_value_ladder_tier,tags,homepage_url,last_verified,canonical_url,markdown_url
polar,Polar,Birk Jernström and team,Creator monetization and payments,Polar bundled MoR plus creator monetization into a single sell. The funnel targets the open-source maintainer specifically.,"Polar combined Merchant of Record payments with creator monetization features (subscriptions, sponsorships, licensing) and pointed the entire funnel at open-source maintainers. The lesson: bundling two compatible categories at a named buyer segment can create a category of one.","A Merchant of Record platform with subscription, sponsorship, and licensing features designed for open-source maintainers and creators.","Open-source maintainers, creators, and indie developers who want monetization plus compliance without separately wiring Stripe and a tax platform.",Percentage-based pricing per transaction with MoR included. Lower base percentage than some MoR alternatives in exchange for narrower feature surface (verified 2026-05-17).,Named-segment bundle hook,"The hero names open-source maintainers as the buyer and bundles payment, subscription, and sponsorship features at that named segment. A maintainer reading the page sees a tool built for them rather than for generic creators.",Maintainer narratives plus GitHub-native UX,"The story is told through GitHub integration, repo-linked monetization, and maintainer-flavored examples. The product itself sits inside the maintainer's workflow, which functions as story by removing the friction the reader expects.",Single price line for a bundled outcome,"Pricing is a single percentage with MoR included. There is no per-feature breakdown to compare against Stripe, Lemon Squeezy, or GitHub Sponsors directly. The single line forces the buyer to evaluate on the bundle outcome.","Named-segment positioning (open-source maintainers) makes the funnel feel custom-built.|GitHub-native integration removes a setup friction every maintainer expects to deal with.|MoR bundling escapes the per-transaction shootout against Stripe.|Simple percentage pricing collapses the comparison work into one number.|Creator-side and customer-side features (subscriptions, licensing, sponsorships) cover the multi-stream monetization the modern maintainer wants.","If you can credibly serve a named buyer segment better than a generalist tool, lead the funnel with the named segment.|Bundle compatible categories under one price line to escape per-feature comparison.|Embed your product in your buyer's existing workflow surface (GitHub, Slack, Notion, Linear) rather than asking them to come to yours.",Do not name a segment you cannot serve better than the generalist. The named-segment promise is fragile.|Do not bundle categories you do not ship at production quality. A bundle of mediocrities is worse than one good specialist tool.,Dream Customer naming (open-source maintainers) plus a New Opportunity (bundled monetization stack) — Brunson Expert Secrets canonical move.,"Workflow-embed story: the product sits inside the buyer's existing tool, so the story is the absence of friction.",Bundled outcome at a single price line — Brunson 'Stack' compressed to one number.,Front-end transactional core (per-payment MoR) plus subscription mechanics for sponsorships and recurring monetization.,named-buyer|category-reframe|developer-tools|monetization,https://polar.sh/,2026-05-17,https://unlocksaas.com/funnel-teardown/polar,https://unlocksaas.com/funnel-teardown/polar/md
screen-studio,Screen Studio,Adam Pietrasiak,Screen recording for marketing video,Screen Studio is a one-person indie business funnel. The output is the marketing.,"Screen Studio is a single-developer SaaS that became a category aesthetic. The funnel is short because the output (auto-zoomed, smoothly-animated screen recordings) is so distinctive that any video produced with the tool credentials it on sight. The lesson: a one-person SaaS can win on output recognition alone, without paid acquisition.","A macOS screen recording app that auto-zooms, smooths cursor motion, and produces high-quality marketing videos from raw screen captures.","Indie SaaS founders, designers, and creators producing product demos and tutorial videos who do not want to learn video editing software.",One-time license fee with optional yearly updates. No subscription (verified 2026-05-17).,Output sample as hero,"The hero is a sample video produced by the tool. The reader watches three seconds of polished output and either wants it or does not, with no copy required for the decision.",Solo-founder transparency,"Adam (the founder) writes the marketing, ships the updates, and posts the changelog on Twitter. The reader knows they are buying from a person, not a venture-backed product team. This is the indie-founder buyer's preferred shape.",One-time license at a premium price,Pricing is a one-time fee at a level that screens out casual buyers but is trivial for any working professional whose video output reflects on their company. The single line removes pricing-page friction entirely.,"Output-as-hero compresses the full funnel into one autoplaying sample.|One-time pricing escapes the subscription-fatigue objection that hits creator-tool SaaS hardest.|Solo-founder identity is the trust signal; the buyer is buying from Adam, not from a faceless company.|Distinctive aesthetic (auto-zoom, smooth cursor) makes every output instantly recognizable, seeding the visible-output flywheel.|Twitter changelog posts are the marketing channel, free and continuous.","If you are a one-person SaaS, lead with your face, your name, and your output. The indie buyer prefers buying from a person.|If your output is visually distinctive, design the output to be recognizable so every shared sample is free marketing.|Consider one-time pricing for tools that produce a discrete output rather than ongoing utility. Subscription is not the only valid model.","Do not adopt the solo-founder positioning if you are not solo. The trust signal is fake and the buyer will eventually find out.|Do not use one-time pricing for tools that require ongoing infrastructure costs (servers, send volume, API calls). The economics fail.",Output-sample hook (Brunson 'show the result') executed as the full hero.,Attractive Character (Brunson Expert Secrets) embodied by the founder; the reader buys from Adam specifically.,"Single price line, one-time, no upsells — the simplest Value Ladder shape.",Single-rung transactional offer (no front-end free tier; no subscription core).,solo-founder|visible-output|one-time-pricing|attractive-character,https://www.screen.studio/,2026-05-17,https://unlocksaas.com/funnel-teardown/screen-studio,https://unlocksaas.com/funnel-teardown/screen-studio/md
notion,Notion,"Ivan Zhao, Simon Last and team",Productivity and workspace,Notion's funnel turns personal free use into team-paid revenue. The free tier is the acquisition channel; the team-collaboration friction is the upgrade trigger.,"Notion's funnel is the canonical personal-free-leads-to-team-paid pattern. Personal free use is genuinely valuable, which seeds adoption inside companies; team-collaboration friction (guest limits, version history, SSO) creates the structural upgrade trigger. The lesson for indie founders: when your buyer's individual use creates artifacts a team will eventually want to share, free-personal can be the most efficient acquisition channel.","A workspace product combining notes, docs, wikis, databases, and project management in one canvas.","Individuals, small teams, and growing companies who want a flexible workspace instead of separate tools per use case.","Free personal tier; Plus ~$10/seat/mo, Business ~$18/seat/mo, Enterprise custom; AI add-on ~$8-10/seat/mo (verified 2026-05-17).",Identity-based positioning,"The hero appeals to who the reader wants to BE (someone who has their thinking organized in one place) rather than what the tool does. The screenshot rotations show real-looking workspaces from different roles, so the reader self-identifies before evaluating features. Identity-based hooks compress evaluation when the category is broad enough that feature-comparison would lose the reader.",Template gallery as social proof,"Story is told through a vast template gallery showing what real people have built. The reader does not need to take a marketing claim on faith because the artifacts are linked. Templates also serve as on-ramp scaffolding — many users copy a template as their starting point, which lowers activation cost.",Free-personal plus seat-ladder team upsell,"Personal free is the offer floor; team-tier upgrades fire at the collaboration boundary (guest limits, version history, SSO). AI is priced as an orthogonal add-on rather than a tier, which lets Notion add revenue without disturbing seat psychology. The structure is a textbook Value Ladder with each rung mapped to a natural team-growth event.","Personal-free tier is good enough for real individual use, seeding viral adoption inside companies.|Team-collaboration boundary as upgrade trigger captures conversion at the moment a personal tool becomes a team tool.|Template gallery doubles as long-tail SEO and as activation scaffolding for new users.|AI priced as add-on (not as tier) lets Notion capture incremental revenue without restructuring the seat ladder.|Identity-based hero meets the broad category where feature-comparison would lose readers.|Custom Enterprise tier handles the largest deals without exposing the price to seat-counting competitors.",Free-personal can be the most efficient acquisition channel when your buyer's individual use creates artifacts a team will eventually want to share.|Price new feature categories as add-ons rather than tiers when they cut across the existing seat structure.|Use templates as both SEO surface and activation scaffolding — they compress the time from signup to first valuable use.,Do not launch personal-free without unit economics that support it. Notion has venture funding and a long horizon.|Do not adopt seat-based pricing if individual seats do not get clear individual value.|Do not build a template gallery before you have users to populate it; an empty gallery is worse than no gallery.,Identity hook (Brunson Expert Secrets) — the reader buys the version of themselves who has their thinking organized.,Hero's-Journey-via-templates: each template represents a real person's solved problem; the reader is invited to copy the pattern.,Full Value Ladder embedded inside one product: free personal → paid team → enterprise → AI continuity add-on across all rungs.,"Front-end lead funnel (free personal) plus per-seat subscription core (Plus, Business, Enterprise) plus continuity add-on (AI).",identity-hook|freemium|team-trigger|value-ladder|template-gallery,https://www.notion.so/,2026-05-17,https://unlocksaas.com/funnel-teardown/notion,https://unlocksaas.com/funnel-teardown/notion/md
linear,Linear,"Karri Saarinen, Tuomas Artman, Jori Lallo",Project management for software teams,"Linear's funnel is restraint as positioning. The hero, the page, the product, and the pricing all communicate one message: software teams who hate process bloat.","Linear's funnel makes minimalism the marketing. The hero, the screenshots, the pricing page, and the product itself all signal the same value: software teams who reject configurability for speed. The lesson for indie founders: when your audience resents the dominant incumbent's specific structural choice, naming that rejection and embodying its opposite is the highest-conversion positioning available.",Issue tracking and project management built for high-velocity software teams.,Software engineering teams from startup to scale-up who reject Jira's complexity.,"Free tier (250 issues); Basic ~$8-10/user/mo, Business ~$14/user/mo, Enterprise custom (verified 2026-05-17).",Aesthetic-as-positioning,"The hero is a single screenshot of the product working fast. There is no manifesto, no industry-problem framing, no founder narrative on the first scroll. The implicit argument is: if you have used Jira and resent it, you already know why Linear exists; the rest of the page just confirms. The aesthetic compression IS the positioning.",Implied-rejection-of-incumbent,"Linear never names Jira directly on the marketing surface, but the entire page reads as 'this is what issue tracking looks like when it does not feel like Jira.' The story is told by absence — no configurability theater, no admin-required workflows, no enterprise gravitas. Readers who have lived in Jira recognize the contrast instantly.",Restrained price ladder,"Free tier with a structural cap (250 issues), Basic that removes the cap, Business that adds team-scale features (cycles, roadmaps), Enterprise that handles procurement. Pricing-page minimalism is so consistent it becomes its own message: 'we trust you to read four rows.' The restraint signals product confidence the way a verbose page signals defensiveness.","Aesthetic minimalism IS positioning when your audience resents tooling complexity.|Implied rejection of Jira is the entire story; naming Jira would weaken the move.|Volume cap on free tier maps to natural team growth, not arbitrary feature gating.|Layered upgrade triggers (volume first, then workflow features) ensure conversion fires across buyer paths.|Single screenshot in hero compresses category recognition; no scrolling needed to understand what Linear is.|Founder-led marketing on Twitter (Karri Saarinen, Tuomas Artman) anchors the brand to credible humans.","If your audience resents the incumbent's structural decision (configurability, complexity, gatekeeping), embody the opposite without naming the incumbent. Implied rejection is stronger than direct attack.|Use volume caps on free tier when usage scales with team success; map the trigger to natural growth events.|Trust the reader's intelligence. Restrained pages signal product confidence; verbose pages signal defensiveness.",Do not adopt restrained positioning if your buyer requires per-feature breakdowns to justify procurement.|Do not name the incumbent directly when implied rejection is stronger. Naming Jira would force comparison-shopping; not naming forces self-identification.|Do not skip an Enterprise tier; procurement-driven buyers need the option even if most never take it.,Aesthetic-positioning hook (rare in Brunson canon but legitimate) — the page's restraint is the message.,Implied-villain story (Brunson 'Common Enemy' executed without naming the enemy) — readers who have lived in Jira recognize the contrast.,Restrained four-rung Value Ladder with a structural free-tier cap as the volume trigger and feature unlocks as the workflow trigger.,"Front-end lead funnel (free with cap) plus per-seat subscription core (Basic, Business) plus high-ticket Enterprise back-end.",aesthetic-positioning|implied-villain|developer-tools|restraint|minimalism,https://linear.app/,2026-05-17,https://unlocksaas.com/funnel-teardown/linear,https://unlocksaas.com/funnel-teardown/linear/md
vercel,Vercel,Guillermo Rauch and team,Frontend cloud and hosting,Vercel's funnel runs through Next.js. The hosting is the product; the framework is the acquisition channel; the developer community is the distribution.,"Vercel's funnel works because Vercel maintains Next.js, which makes Next.js documentation, examples, and community content effectively a permanent acquisition channel for Vercel hosting. The lesson for indie founders: owning the canonical reference for a tool in your category creates compounding distribution that paid acquisition cannot match.","A frontend cloud platform with hosting, serverless functions, edge networking, and platform services (AI Gateway, Blob, Edge Config) for modern web apps.","Developers, startups, and enterprises building modern web applications, particularly those using Next.js or React.",Hobby tier free (no commercial use); Pro ~$20/user/mo plus metered overages; Enterprise custom (verified 2026-05-17).,Framework-coupled-hosting,"The hero leads with Next.js capability and the hosting follows implicitly. Developers learning Next.js encounter Vercel inside the Next.js documentation, the Next.js examples, the deployment quick-starts. The hook is not 'come use Vercel' — it is 'come learn Next.js, the canonical platform happens to be Vercel.' This is the canonical Dream 100 play executed at platform scale.",Founder-led plus ecosystem-led,"Story is layered: Guillermo Rauch's personal Twitter presence, the Vercel changelog, the Next.js release notes, the AI SDK blog, the customer case studies. Each layer reinforces the others. The story is built continuously through publishing rather than told in a marketing campaign.",Commercial-use boundary plus metered overages,Hobby tier is generous; commercial use is forbidden. This is a structural upgrade trigger that fires precisely when the customer starts earning revenue. Pro at $20/user/mo plus metered usage means revenue scales with customer success without bill-shock. Enterprise is a sales conversation. Clean alignment between offer mechanics and customer state.,"Framework ownership (Next.js) creates a permanent acquisition channel through documentation, examples, and community content.|Commercial-use boundary as upgrade trigger fires conversion at the exact moment customers start earning revenue.|Round Pro price ($20/user/mo) is memorable and signals confidence rather than micro-optimized pricing.|Founder-led marketing through Guillermo Rauch's Twitter presence anchors the brand to a credible human.|Metered usage scales with customer success, lowering commitment friction.|AI SDK and AI Gateway extend the product surface into adjacent value without disturbing the core hosting model.|Customer case studies on the marketing site lean into recognizable companies, borrowing authority into the platform.","If you can own the canonical reference (framework, tool, standard) in your category, the documentation becomes a permanent acquisition channel.|Use structural upgrade triggers (commercial use, scale threshold) rather than feature gates when possible. Structural triggers fire at value moments.|Round, memorable headline prices signal product confidence; odd numbers invite comparison-shopping.",Do not free commercial use if your competitive position depends on monetizing small commercial users.|Do not adopt metered usage if your customer cannot predict their bill — bill-shock is the biggest churn driver in usage-priced SaaS.|Do not invest in maintaining a canonical reference unless you can sustain that investment for years; the acquisition channel only compounds with continued maintenance.,Dream 100 framework hook (Brunson canonical move) — own the canonical reference in your category and the audience comes to you.,"Continuous-publishing story across multiple layers (founder, changelog, blog, case studies) — the Brunson 'Attractive Character' compounded through ecosystem.",Three-rung Value Ladder with structural commercial-use trigger plus metered overages — Brunson 'two-step upsell' (subscription core plus usage upgrade) executed through alignment with customer state.,Front-end lead funnel (Hobby) plus subscription core (Pro) plus high-ticket Enterprise back-end.,framework-ownership|dream-100|developer-tools|usage-based|founder-led,https://vercel.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/vercel,https://unlocksaas.com/funnel-teardown/vercel/md
figma,Figma,Dylan Field and team,Design and prototyping,Figma's funnel turns viewers into ads. Every shared design file is a Figma demo running on someone else's site.,"Figma's funnel works because viewers, commenters, developers, and clients all encounter Figma at zero cost when designers share files. Per-editor pricing means the high-multiplier role (viewer) is free and the value-capture role (editor) pays. The lesson for indie founders: if your product has a high viewer-to-editor ratio, freeing the viewer turns shared output into a permanent acquisition channel.","Collaborative design and prototyping in the browser, plus FigJam whiteboard and Slides.","Designers, product teams, agencies, and developers who collaborate on design.","Starter free; Professional ~$15/editor/mo, Organization ~$45/editor/mo, Enterprise ~$75/editor/mo (verified 2026-05-17). Viewers free.",Network-effect-as-demo,"The hero shows a design file with multiple cursors moving — real-time collaboration as the differentiator. Designers who have used the older generation of design tools (Sketch, Adobe XD) recognize the move from file-based to browser-native instantly. The hook is a single visual: many people in one file. Compression beats explanation.",Customer-roster authority borrow,"Story is told through visible logo bar of design teams at well-known companies. Each logo borrows authority into the platform; design-conscious buyers recognize the pattern (if Spotify, Airbnb, and GitHub use Figma, the question shifts from 'is this credible' to 'why are we not using this'). Borrowed authority compresses trust-building when the logos are credible to the buyer.",Per-editor with viewer-free leverage,"The structural pricing decision is the entire funnel: viewers, commenters, developers, and clients all access files for free; only editors pay. This makes every shared file a viral acquisition asset. Editor-tier pricing (Professional, Organization, Enterprise) creates a clear value ladder; the Enterprise anchor at $75/editor/mo makes Professional at $15/editor/mo feel reasonable.","Viewer-free model turns every shared file into a free demo on someone else's site.|Per-editor pricing aligns revenue with value-capture role and frees the discovery role.|Triple-anchor pricing (Enterprise high, Organization middle, Professional accessible) makes the most-purchased tier feel like the deal.|Real-time collaboration as hero compresses category-recognition for designers who have used file-based tools.|Visible customer roster borrows authority from credible design-conscious companies.|FigJam and Slides expansion into adjacent use cases captures revenue without disturbing the core design pricing.","If your product has a high viewer-to-editor multiplier, free the viewer and price the editor. The viewers become your acquisition channel.|Use Enterprise-tier pricing as a visible anchor even if few buyers reach that tier; anchoring works on visible price, not on revenue mix.|Visible customer rosters work when the logos are credible to your buyer's category. Mismatched logos hurt more than they help.",Do not free viewers if your viewer role IS the buyer (e.g. analytics dashboards where the executive viewing is the one paying).|Do not seek a customer-logo bar before you have customers; empty grids signal absence more than presence.|Do not assume per-editor pricing works for non-collaborative products. The multiplier model requires shared output.,Visual-differentiation hook (real-time collaboration as the entire visible category difference) executed in a single screenshot.,Borrowed-authority story (Brunson Expert Secrets 'Authority Hack') executed through visible customer logos in the buyer's own category.,Four-rung Value Ladder with viewer-free acquisition rung that does not count toward seat revenue.,"Front-end lead funnel (viewer-free) plus three-tier per-editor subscription core (Professional, Organization, Enterprise).",per-editor|viewer-free|borrowed-authority|collaboration|design,https://www.figma.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/figma,https://unlocksaas.com/funnel-teardown/figma/md
stripe,Stripe,Patrick and John Collison,Payments infrastructure,Stripe's funnel is documentation. The marketing site sets the appointment; the docs close the deal; the brand is built one developer at a time.,"Stripe's funnel is structured around developers evaluating payment infrastructure: the marketing site states the simple proposition, the documentation answers every implementation question, the case studies anchor the brand to credible companies. The lesson for indie founders: when your buyer evaluates by trying the product, documentation IS the closing surface and should be treated as part of the funnel.","Payment processing infrastructure with subscriptions, billing, fraud prevention, payouts, and a deep API ecosystem.","Developers, indie SaaS, growing companies, and enterprises accepting payments online.","2.9% + 30¢ per successful charge (US standard, verified 2026-05-17). Custom pricing at scale.",Single-line value proposition,"The hero communicates one promise: 'payments infrastructure for the internet.' There is no story, no founder narrative, no industry framing. The implicit argument is that developers know what they need from a payments platform and the hero exists to confirm Stripe is that thing. Compression beats persuasion when the buyer is already qualified.",Documentation-as-story,"The story is in the docs, not the marketing site. Stripe's documentation is famous in developer circles for clarity, completeness, and code samples in every major language. The docs are the closing surface — a developer evaluating Stripe reads them while deciding, and the experience of reading them tells the story that the marketing copy cannot.",Single transparent rate plus custom enterprise,"Headline pricing is one line: 2.9% + 30¢. No setup fees, no monthly fees, no minimum volume. This simplicity is the entire pricing-page argument — developers evaluating against PayPal, Square, or legacy processors see the simplest comparison and convert without deeper analysis. Enterprise pricing exists behind a sales conversation, which captures large deals without exposing volume discounts.","Documentation as closing surface — clarity and completeness compress evaluation time materially.|Single round percentage (2.9%) signals confidence and removes pricing-comparison friction.|Case studies feature recognizable companies, borrowing authority from category-credible brands.|Add-on products (Connect, Atlas, Tax, Radar, Billing) priced on their own pages prevent main pricing-page clutter.|Founder-credible (Patrick Collison's Twitter and writing) anchors the brand to humans who understand the developer audience.|International expansion published as documentation events, not marketing campaigns, matches the developer audience's preference for substance over splash.","If your buyer evaluates by trying the product, treat documentation as part of the funnel. Bad docs are a leak; great docs compress evaluation.|Single-line round pricing signals confidence and removes the comparison-shopping friction that detailed tier pages create.|Case studies work when the logos are credible to your buyer's category. Match the logos to the audience.",Do not adopt single-line pricing if your unit economics require negotiation at certain volume bands; you need at least a custom tier.|Do not over-invest in documentation polish if your product is not stable enough to warrant it; rapidly changing docs are worse than minimal ones.|Do not use case-study logos if you do not have the customers; aspirational logos signal absence.,Single-line value-proposition hook (Brunson 'one-sentence pitch') for an already-qualified audience.,"Documentation-as-story (rare in Brunson canon but legitimate) — the docs are the proof asset, more credible than any case study.",Single transparent rate plus custom enterprise — Brunson 'simplicity-as-anchor' move that removes comparison-shopping mental math.,Single transactional rung with custom enterprise back-end and add-on products as parallel ladders.,documentation-as-funnel|simplicity|developer-tools|single-line-pricing,https://stripe.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/stripe,https://unlocksaas.com/funnel-teardown/stripe/md
fathom,Fathom Analytics,Jack Ellis and Paul Jarvis,Privacy analytics,"Fathom's funnel runs on founder-led indie credibility. Jack Ellis and Paul Jarvis write the marketing, build the product, and answer the support emails — and the audience trusts them for it.","Fathom Analytics's funnel is built on founder-led indie credibility. Jack Ellis and Paul Jarvis are visible across Twitter, the blog, and customer support, and the marketing leans into the small-team-shipping-quietly aesthetic that privacy-leaning buyers respond to. The lesson for indie founders: when your audience is values-aligned, founder visibility IS the brand and beats anonymous-SaaS positioning at scale.","A privacy-focused, cookie-free web analytics SaaS positioned as the ethical alternative to Google Analytics.","Indie founders, small SaaS, and privacy-leaning teams in the EU and beyond who do not want to deal with cookie banners or GDPR overhead.",Volume-tiered subscription starting low for hobby sites and scaling with pageviews. Hosted only (no self-host) (verified 2026-05-17).,Founder-led-as-trust-signal,"The hero leads with the same principled positioning Plausible uses (privacy, no cookies, GDPR-by-construction) but with a different texture: Fathom feels like a small focused product run by two recognizable humans. The founder-led trust signal compresses category-evaluation time because privacy-aligned buyers are buying from a person they can verify, not a faceless SaaS.",Quiet competence narrative,"The story is told across Jack and Paul's individual blogs, podcast appearances, and Twitter presences. The marketing site is calm and confident; the broader content arc reinforces 'we ship steadily, we do not chase venture money, we answer your support emails.' This narrative shape converts buyers who actively dislike VC-funded marketing aesthetics.",Subscription with structural cap on free trial,Free 30-day trial; paid tiers scale by pageviews after that. No self-host (unlike Plausible). The offer mechanics are conventional but the brand voice carries the conversion work — buyers trust Jack and Paul to ship what they promise without aggressive upsells.,"Two founders visible across Twitter, blogs, and customer support — the brand is the humans.|Quiet-competence aesthetic differentiates against louder venture-funded analytics players.|Volume-tiered pricing aligns the bill with customer success and platform cost.|Same principle stack as Plausible (privacy, GDPR-by-construction, cookie-free) — the category fight is values-aligned not values-divided.|Long-running founder content (Jack's Calm Fund work, Paul's writing) gives prospects a deep prior on the operators before they buy.|Active customer support visible publicly — buyers see Jack and Paul responding to issues on Twitter, which is its own credibility signal.","If your audience is values-aligned, founder visibility IS the brand. Get on the marketing surface yourself rather than hiring marketers to speak for you.|Long-running personal content (Twitter, blog, podcast) compounds into a deep prior buyers can verify before purchase.|Active visible customer support is a trust signal that scales — buyers who see you respond to other customers conclude you will respond to them too.",Do not adopt founder-led-as-trust if you cannot sustain the visibility. The aesthetic only works when founder presence is continuous; visible absence converts against you.|Do not pretend to be small if you are not. The quiet-competence narrative is fragile when buyers discover the team is larger or VC-funded than the brand implied.,Attractive Character hook (Brunson Expert Secrets) — Jack and Paul ARE the marketing.,"Hero's-Journey-via-founder-content: years of writing about indie software, calm-company values, and customer-first ops build the prior buyers carry in.","Two-rung Value Ladder: free trial as front-end, volume-tiered subscription as core. No high-ticket back-end — the offer matches the indie aesthetic.",Front-end trial plus subscription core; no continuity upsell or back-end.,founder-led|attractive-character|indie-friendly|privacy-analytics,https://usefathom.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/fathom,https://unlocksaas.com/funnel-teardown/fathom/md
calendly,Calendly,Tope Awotona,Scheduling,Calendly's funnel runs on category-default mindshare. The brand IS the moat — bookers expect to see a Calendly link.,"Calendly's funnel works because the brand is the category default. When sales teams or freelancers share a scheduling link, recipients expect to see Calendly and are mildly surprised by alternatives. The lesson for indie founders: brand-as-default is a real moat once earned, but the path to earning it is long and not directly replicable; alternatives must compete on principle or feature gap rather than brand.","A scheduling platform for sales calls, demos, customer meetings, and recruiter coordination, with a Calendly-branded booking page recipients use.","Sales teams, recruiters, customer success managers, and any professional whose calendar coordination is high-volume.","Free tier (1 event type, limited features); paid plans scale per user from low-double-digits per month into enterprise tiers (verified 2026-05-17).",Category-default trust,"The hero leans on Calendly's market position rather than a specific structural promise. The implicit argument is 'you already know what this does — start using it.' This works only after a brand has earned default-recognition status; before that, the same minimalist hero converts nobody.",Use-case carousel for cross-functional adoption,"The marketing site shows use cases across sales, recruiting, customer success, education, and consulting. The story is not about one buyer; it is about the brand serving every role that schedules meetings. This breadth of positioning works for a category default and fails for a challenger trying to enter the market.",Free-tier-acquisition plus enterprise upsell ladder,"The free tier captures individual users; paid tiers scale into team and enterprise features (CRM integrations, advanced workflows, admin controls). The free-tier acquisition is structural — every Calendly link shared by a free user is also marketing for the brand to the recipient.","Brand-as-default IS the moat — recipients recognize Calendly links and trust them, which suppresses switching to alternatives.|Free tier with the Calendly brand on the booking page seeds visible-customer presence across every shared link.|Cross-functional positioning broadens the addressable market beyond pure sales teams.|Mature integration ecosystem (Salesforce, HubSpot, Marketo) locks in enterprise customers who built workflows around Calendly.|Enterprise-tier features (SSO, admin, workflows) capture the high-margin segment without disturbing the free-acquisition layer.","Visible-customer flywheel: free-tier branding on customer-shared surfaces is the most efficient acquisition channel when buyers share output publicly.|Cross-functional positioning can broaden a tool that started in one vertical, but only once category default is earned.|Mature integration ecosystem is a real moat for enterprise — but it takes years to build and is not transferable.","Do not adopt category-default positioning if you are the challenger. The aesthetic only works once you have earned the recognition; before then, you need to lead with the differentiator that justifies switching.|Do not assume cross-functional positioning works for new entrants. Calendly earned the breadth after locking sales-team adoption first; new entrants should narrow before they broaden.",Brand-default hook — works only for the category incumbent. Brunson would call this 'borrowed authority from your own brand' once that brand is earned.,"Multi-Dream-Customer story serving sales, recruiting, success, education — only sustainable for the category default.",Front-end free with visible branding (acquisition flywheel) plus enterprise upsell ladder (margin extraction). Textbook two-rung Value Ladder with a continuity-tier back-end.,Front-end lead funnel (free with branding) plus per-seat subscription core plus enterprise back-end.,category-default|brand-as-moat|free-tier-flywheel|incumbent,https://calendly.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/calendly,https://unlocksaas.com/funnel-teardown/calendly/md
postmark,Postmark,Wildbit team (acquired by ActiveCampaign in 2022),Email API,Postmark's funnel runs on deliverability obsession. For over a decade the marketing has hammered one message: your transactional email actually arrives.,"Postmark's funnel is built around a single structural promise: deliverability. The marketing has hammered this message for over a decade, with separate transactional and broadcast streams as the architectural proof point. The lesson for indie founders: when the structural decision (separated streams) IS the differentiator, the marketing only needs to repeat one message.","A developer-friendly transactional email API with separate streams for transactional and broadcast sends, optimized for deliverability.","Developers and SaaS teams sending transactional email (password resets, receipts, notifications) who prioritize inbox placement above all else.",Free 100/month; paid tiers start at ~$15/month for 10K emails; volume tiers scale into enterprise (verified 2026-05-17).,Single-message repetition,"The hero leads with deliverability and only deliverability. There is no feature carousel, no AI add-on, no creator-pivot. The implicit argument is 'we solve one problem completely; everything else is distraction.' This works because deliverability genuinely IS the dominant criterion for transactional-email buyers.",Architectural-decision-as-proof,The story is told through the separated transactional and broadcast streams — a structural decision that protects transactional deliverability from broadcast incidents. This is not a marketing claim; it is a technical architecture choice that competitors would have to abandon their business model to copy. Architectural proof beats narrative proof.,Volume-tiered with conservative free tier,100 emails/month free is conservative compared to Resend's 3K; the pricing structure favors paid customers who care about deliverability enough to commit. Paid tiers scale with volume; the offer is conventional but the brand promise (deliverability) carries the conversion work.,"Single-message marketing for over a decade — the brand promise is so consistent that buyers know what they are buying before clicking.|Separated streams as architectural proof — competitors cannot copy this without changing their business model.|Strong founder-led marketing from Wildbit (Natalie Nagele, Chris Nagele) over the years built indie credibility.|Active engagement in the broader email community (sender-policy education, deliverability content) reinforces the category-expert position.|Acquired by ActiveCampaign in 2022 — keeps the platform funded and operationally stable while preserving the brand promise.","If your structural decision IS the differentiator, lead with it everywhere and resist the urge to add other messaging. Architectural commitment beats marketing copy.|Single-message repetition compounds — buyers who hear the same message ten times trust it more than buyers who hear ten different messages once.|Founder-led content in your category's broader community (deliverability, security, compliance) builds expert positioning that pays back for years.",Do not adopt single-message marketing if you have not committed to the architectural decision behind it. The strategy fails when the message and the product diverge.|Do not assume separated streams is the right architecture for your product — it is right for deliverability-first email and wrong for other email shapes.,Single-promise hook (Brunson 'one-sentence pitch') executed at extreme repetition over years.,Architectural-proof story — the product itself is the case study. Stronger than narrative when the architectural choice is verifiable.,Volume-tiered subscription with conservative free tier; no front-end loss leader. Brunson 'priced for the buyer who cares' shape.,Two-rung Value Ladder: free trial tier plus volume-tiered subscription core.,deliverability|single-message|developer-tools|architectural-proof,https://postmarkapp.com/,2026-05-17,https://unlocksaas.com/funnel-teardown/postmark,https://unlocksaas.com/funnel-teardown/postmark/md
